username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
KBS News,/user/NewsKBS,[자막뉴스] 이태원 클럽발 코로나19 대구·경북 엄습…방역 비상 / KBS뉴스(News),1.4K,1.4K views,/watch?v=G3o7K8Dz788,,2021-04-17 13:28:09.309779
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,"방역당국 ""전국서 2·3차 감염확인""…이태원 클럽 관련 확진자 148명 / 연합뉴스 (Yonhapnews)",9.6K,9.6K views,/watch?v=nzn5_bxR0_g,,2021-04-17 13:28:09.311308
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,'이태원 클럽 관련' 코로나19 확진자 총 187명…12명 추가 확인 / 연합뉴스 (Yonhapnews),6K,6K views,/watch?v=4q6Gz1nMUPw,,2021-04-17 13:28:09.312788
MBCNEWS,/user/MBCnews,"[투데이 연예톡톡] 박규리, '집단 감염' 이태원 클럽 방문 (2020.05.12/뉴스투데이/MBC)",33K,33K views,/watch?v=sp_z80d8DR4,,2021-04-17 13:28:09.313930
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,"경찰 ""이태원 클럽발 코로나…1,779명 추적"" / 연합뉴스TV (YonhapnewsTV)",313,313 views,/watch?v=iTlR7TpvHXk,,2021-04-17 13:28:09.315383
인천시,/user/icncityhall,코로나19 이태원 클럽 집단 감염 관련 인천시장 긴급 발표,4.4K,4.4K views,/watch?v=WCpWmQYPfGA,,2021-04-17 13:28:09.316639
안다TV ANDATV,/channel/UCq7af5lj-gUy1qeN9DlNI9g,이태원발 코로나 재확산 공포...'유령도시' 전락하나,183,183 views,/watch?v=GuFZ7_Dhf6A,,2021-04-17 13:28:09.317776
K-Australia호주줄리,/channel/UC8oyPRBe91GOyM3POG_IoPQ,이태원클럽 코로나 전국확산 옆에 마트 가기 겁난다.Corona restart. I'm afraid to go to the mart next to the Itaewon Club.,34,34 views,/watch?v=DmDc7sbLZak,,2021-04-17 13:28:09.319078
용인시,/user/TheYongin,코로나19 이태원 클럽 집단발생 관련 긴급 브리핑,637,637 views,/watch?v=cJo6nxL-jqs,,2021-04-17 13:28:09.320271
YTN news,/user/ytnnews24,"서울 이태원 클럽 접촉자 12명 추가 확진...서울시 ""행정명령 검토"" / YTN",43K,43K views,/watch?v=UyxjCg773UI,,2021-04-17 13:28:09.321473
MTN 머니투데이방송,/user/mtn,[코로나19]이태원 클럽 확진자 벌써 15명…집단감염 공포 재확산 / 머니투데이방송 (뉴스),1K,1K views,/watch?v=X5_7vKTCwvA,,2021-04-17 13:28:09.322772
KTV국민방송,/user/chKTV520,신규 확진 34명 중 이태원 클럽 관련 24명 - 코로나19 발생현황 중앙방역대책본부 정례브리핑 5/10(일),16K,16K views,/watch?v=wof0QJvwXY8,,2021-04-17 13:28:09.323830
