username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
MBCNEWS,/user/MBCnews,이태원클럽 코로나19 확진 관련 서울시 브리핑 - [RightNow LIVE] 2020년 5월 13일,21K,21K views,/watch?v=cUGppZspOsU,,2021-04-17 13:27:38.522907
KBS News,/user/NewsKBS,이태원 클럽 관련 코로나19 확진자가 계속 증가 / KBS뉴스(News),3.9K,3.9K views,/watch?v=KO4HbPWgZIk,,2021-04-17 13:27:38.526271
MBCNEWS,/user/MBCnews,이태원클럽 코로나19 확진 관련 서울시 브리핑 - [RightNow LIVE] 2020년 5월 12일 (화),11K,11K views,/watch?v=BXMkzTBfjLY,,2021-04-17 13:27:38.528894
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,"유명 아이돌 가수들 4월말 이태원서 모임...""음성 판정"" / 연합뉴스 (Yonhapnews)",242K,242K views,/watch?v=pzxfobua29M,,2021-04-17 13:27:44.354316
SBS 뉴스,/user/sbsnews8,"[단독] 이태원 클럽 바이러스, 신천지 때와 다르다 / SBS",45K,45K views,/watch?v=Y_rvkK6Uns0,,2021-04-17 13:27:44.356539
KBS News,/user/NewsKBS,[코로나19-서울] 이태원 클럽 관련 확진자 전국 85명 / KBS뉴스(News),58K,58K views,/watch?v=HWP1bcdFb-U,,2021-04-17 13:27:44.358301
YTN news,/user/ytnnews24,'이태원 클럽 방문' 김제 공중보건의 코로나19 확진 / YTN,2.2K,2.2K views,/watch?v=bgXrmBJVG2o,,2021-04-17 13:27:44.360474
단국대학교디보이스,/user/Dvoicenews,[DKU News] 이태원 클럽 코로나19 집단 감염,162,162 views,/watch?v=E5bL3C7uWAo,,2021-04-17 13:27:44.361765
MBCNEWS,/user/MBCnews,"'이태원 감염' 최소 155명…""주말 최대 고비"" (2020.05.16/뉴스투데이/MBC)",2.8K,2.8K views,/watch?v=m4LYVD8ltng,,2021-04-17 13:27:44.363047
채널A Entertainment,/user/enterchannela,이태원 클럽발 코로나19 사태! 홍석천이 밝힌 소신있는 입장은!?  | 밀착토크 풍문으로 들었SHOW 240 회,2K,2K views,/watch?v=E_g6T36TcT8,,2021-04-17 13:27:44.365082
YTN news,/user/ytnnews24,이태원 클럽발 코로나19 확산 '관련 환자'만 142명 / YTN,5.1K,5.1K views,/watch?v=tCHnrHcl-cQ,,2021-04-17 13:27:44.367522
KTV국민방송,/user/chKTV520,코로나19 │이태원 클럽 관련 확진자 발생 상황 및 조치 현황,2.3K,2.3K views,/watch?v=R30Y51DPrpA,,2021-04-17 13:27:44.369304
YTN news,/user/ytnnews24,코로나19 이태원 클럽 관련 누적 확진 161명...하루 사이 8명 증가 / YTN,4K,4K views,/watch?v=Sm2ITdOeLV0,,2021-04-17 13:27:44.371049
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,"""코로나19 신규 확진 20명…이태원 클럽발 감염 지속"" / 연합뉴스 (Yonhapnews)",6.2K,6.2K views,/watch?v=J4DtqbvBows,,2021-04-17 13:27:44.373250
KBS News,/user/NewsKBS,[친절한뉴스] ‘클럽발 코로나’ 위험 요소는? / KBS뉴스(News),1.5K,1.5K views,/watch?v=qC47lvuA8Bo,,2021-04-17 13:27:44.374584
YTN news,/user/ytnnews24,다가오는 '핼러윈 데이'...이태원 클럽 방역 또 '비상' / YTN,62K,62K views,/watch?v=NmTYXU-dET8,,2021-04-17 13:27:44.375969
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,이태원 클럽발 코로나 확산에 연예계도 들썩 / 연합뉴스TV (YonhapnewsTV),6.4K,6.4K views,/watch?v=MLtBOIfecGA,,2021-04-17 13:27:44.377613
JTBC News,/user/JTBC10news,제주 '코로나 청정 선언' 하루 만에…이태원 클럽 확진자 / JTBC 뉴스룸,990,990 views,/watch?v=WTXoaQ0V9LI,,2021-04-17 13:27:44.379062
DBN한국농아방송,/channel/UC7lV-1pINvjayeZ8CyvAG0Q,이태원클럽 코로나19 유행,1.9K,1.9K views,/watch?v=zYvQUmSJrq0,,2021-04-17 13:27:44.380134
미쓰문MissMoon TV,/channel/UCZIyCVHET3Fi5yEUwFTEbhA,이태원클럽 코로나19에 대한 게이 미쓰문의 생각에 댓글을 달아주신 시청자,1.7K,1.7K views,/watch?v=1pezhMzwy30,,2021-04-17 13:27:44.381488
YTN news,/user/ytnnews24,이태원 클럽발 코로나19 확산 '관련 환자'만 133명 / YTN,5.1K,5.1K views,/watch?v=yZIERVqMrJ4,,2021-04-17 13:27:44.382984
KBS News,/user/NewsKBS,코로나19 신규 확진자 27명…이태원 클럽 2곳서 추가 확진자 발생 / KBS뉴스(News),349,349 views,/watch?v=tu9rY90aCAU,,2021-04-17 13:27:44.384378
MBCNEWS,/user/MBCnews,"""외출금지령 어기고 몰래""…군인도 '이태원 클럽' 감염  (2020.05.08/뉴스데스크/MBC)",39K,39K views,/watch?v=3-WFGm1VJ4U,,2021-04-17 13:27:44.385780
SBS 뉴스,/user/sbsnews8,"서울 클럽 막히자 '수도권 원정'…""파티!"" 다닥다닥 춤 / SBS",30K,30K views,/watch?v=9sxhQJblOE4,,2021-04-17 13:27:50.392106
법률술사 - 변호사 트리오,/channel/UCrt3u4w7tuqoK5x55RpMkcA,변호사들이 말하는 이태원 게이클럽 코로나 확진자 형사처벌 가능??,683,683 views,/watch?v=fBx3LaCc-5U,,2021-04-17 13:27:50.393392
딜라이브 서울경기케이블TV 구 계정,/channel/UCuH0h3EVpSc_wTwIgodSO-Q,"[광진] 광진구, 이태원 클럽 방문 남성 3명 코로나19 확진",23,23 views,/watch?v=E_GIsg3NEQo,,2021-04-17 13:27:50.394640
JTBC News,/user/JTBC10news,"이태원 클럽 다녀온 의왕시 40대 남성, 코로나 양성 판정 / JTBC 아침&",1.1K,1.1K views,/watch?v=-ptz5fIk1SA,,2021-04-17 13:27:50.397729
14F 일사에프,/channel/UCLKuglhGlMmDteQKoniENIQ,‘이태원 클럽 안 갔고 직업도 없다’고 거짓말 한 학원 강사...감염된 학생들은 무슨 죄입니까?/14F,52K,52K views,/watch?v=BPLf_bPtaM4,,2021-04-17 13:27:50.399091
KTV국민방송,/user/chKTV520,이태원 클럽 관련 누적확진자 총 153명 - 코로나19 발생현황 중앙방역대책본부 정례브리핑 5/15(금),10K,10K views,/watch?v=DgIv5Fr-Uxw,,2021-04-17 13:27:50.400318
MBCNEWS,/user/MBCnews,이번엔 '부천 나이트클럽'…코로나 방어선 '복병' (2020.05.18/뉴스데스크/MBC),36K,36K views,/watch?v=j1wUYF2iu_w,,2021-04-17 13:27:50.401663
채널A,/user/mainchannela,[핫it슈] 끊임없는 '이태원 아이돌' 클럽 논란! 클럽에서 마스크 벗고 노래까지 부른 가수들 | 밀착토크 풍문으로 들었SHOW,32K,32K views,/watch?v=f3PEw0A0KxY,,2021-04-17 13:27:50.402915
SK브로드밴드 뉴스,/channel/UC-vNibpnLb8NTYjeTSYhFUw,[자막뉴스] 이태원 클럽발 코로나19 ‘2차 감염' 잇따라 / SK브로드밴드,30,30 views,/watch?v=iHNfKZnTT_M,,2021-04-17 13:27:50.404191
헬로! 경남 - LG HelloVision,/channel/UCmlgtxLebwbFTBAD1bbr6NA,이태원클럽발 코로나19 확산 우려,32,32 views,/watch?v=zy_3mXdhSSQ,,2021-04-17 13:27:50.405340
KBS News,/user/NewsKBS,국내 ‘코로나19’ 신규 확진자 34명…이태원 클럽 관련 감염 확산 / KBS뉴스(News),3.3K,3.3K views,/watch?v=wbFur3h6XzM,,2021-04-17 13:27:50.407681
KBS News,/user/NewsKBS,코인노래방 통한 이태원 클럽발 3차 감염…마포구 주점서도 4명 추가 확진 / KBS뉴스(News),2.8K,2.8K views,/watch?v=9Zx9xrg-_gw,,2021-04-17 13:27:50.410056
경기농아방송,/channel/UCy460AveLol6g_s3GZIKRkw,[주간수어뉴스] 이태원 클럽 코로나 재확산,1.5K,1.5K views,/watch?v=Zsa8PMg-DHE,,2021-04-17 13:27:50.411446
KTV국민방송,/user/chKTV520,코로나19 │이태원 클럽 방문자 가급적 외출자제하고 선별진료소에서 검사 받으시기 바랍니다,3.2K,3.2K views,/watch?v=3I21OlRJA7A,,2021-04-17 13:27:50.413027
KBS News,/user/NewsKBS,[자막뉴스] 국내 ‘코로나19’ 신규 확진자 34명…이태원 클럽 관련 감염 확산 / KBS뉴스(News),3.9K,3.9K views,/watch?v=-3rNmDVmUXg,,2021-04-17 13:27:50.414297
YTN news,/user/ytnnews24,[더뉴스-코로나19] 추가 환자 나흘째 20명대...이태원 클럽발 'N차 감염' 확산 / YTN,7.1K,7.1K views,/watch?v=6_g7SsZBklQ,,2021-04-17 13:27:50.415840
대전MBC 뉴스/Daejeon MBC News,/user/tjmbcnews,이태원 클럽발 코로나19 환자 접촉자 파악 주력/대전MBC,41,41 views,/watch?v=jLG8LyUq18M,,2021-04-17 13:27:50.417130
YTN news,/user/ytnnews24,"[뉴있저] '이태원 집단감염'에 커지는 성소수자 혐오...""방역도움 안돼"" / YTN",11K,11K views,/watch?v=Bz9sx6GBKlo,,2021-04-17 13:27:50.418313
딜라이브 서울경기케이블TV 구 계정,/channel/UCuH0h3EVpSc_wTwIgodSO-Q,[서대문] 이태원 클럽발 코로나…신촌도 '비상',12,12 views,/watch?v=K0sVSzzPTgU,,2021-04-17 13:27:50.419501
뉴스토마토,/channel/UCYUGo6ZfQZCTMrK9rMDijNQ,[합정보톡스]'이태원 클럽' 방문 5천명 중 2천명 연락 안돼,83,83 views,/watch?v=1Ichy1QJNJQ,,2021-04-17 13:27:56.555623
KBS News,/user/NewsKBS,[코로나19-서울] “이태원 클럽 관련 114명 진단 검사…그중 11명 양성” - 5월8일 오전 브리핑 / KBS뉴스(News),104K,104K views,/watch?v=dfKuuI0VH2k,,2021-04-17 13:27:56.558027
YTN news,/user/ytnnews24,코로나에도 핼러윈 인파...대형 클럽 문 닫자 식당·주점으로 / YTN,6.3K,6.3K views,/watch?v=z5_0n2BTFDU,,2021-04-17 13:27:56.559593
MBCNEWS,/user/MBCnews,이태원 클럽발 확진 119명…인천서 중고생 2차 감염 (2020.05.13/12MBC뉴스),7.4K,7.4K views,/watch?v=nOA33Zob-0I,,2021-04-17 13:27:56.561014
대전MBC 뉴스/Daejeon MBC News,/user/tjmbcnews,'이태원 클럽' 관련 코로나19 검사대상자 564명/대전MBC,65,65 views,/watch?v=5P2Xcwz5sVY,,2021-04-17 13:27:56.562369
YTN 사이언스 투데이,/channel/UCUkuuoNkyVBFWojFW-SPmTw,[코로나19 브리핑] 이태원 클럽발 확산…지역사회 감염 우려 현실화? / YTN 사이언스,579,579 views,/watch?v=Qf4OYaq1TIo,,2021-04-17 13:27:56.563832
MBCNEWS,/user/MBCnews,이번엔 '부천 나이트클럽'…코로나 방어선 '복병' (2020.05.19/뉴스투데이/MBC),2.7K,2.7K views,/watch?v=7lXgiXrDnmI,,2021-04-17 13:27:56.565206
서울시 · Seoul,/user/seoullive,코로나19 관련 서울시 정례브리핑 - 5월 15일 | 이태원 클럽관련 서울 확진자 83명 | 홍대주점 확진자 이태원클럽 3차 감염 | 노래방 통해 확산,916,916 views,/watch?v=O8NoyUDw7do,,2021-04-17 13:27:56.566517
케이블CMB,/channel/UCli8R56d2rucoSRqzwT6x-g,[대전뉴스] 충남 공주서 이태원클럽 관련 코로나 확진자 발생,289,289 views,/watch?v=MBKnkHTWCvo,,2021-04-17 13:27:56.567982
KBS News,/user/NewsKBS,"코로나19 확진자 총 10,840명…“이태원 클럽 관련 확진자 증가” / KBS뉴스(News)",5.3K,5.3K views,/watch?v=vq_vesx60SM,,2021-04-17 13:27:56.569239
뉴스1TV,/user/news1korea,성소수자(게이)가 말해주는 '블랙수면방'실태 feat. 이태원 게이클럽,21K,21K views,/watch?v=L16rq0VUOCw,,2021-04-17 13:27:56.570479
아이즈매거진,/channel/UCBiSffyBdhIRjYG5q46Td_w,"이태원 클럽, 엄격해진 단속에 결국 할로윈 영업 포기한다",1.3K,1.3K views,/watch?v=1SriPVwRJ_o,,2021-04-17 13:27:56.571927
JTBC News,/user/JTBC10news,이태원 클럽발 '코로나 재확산' 우려…지역사회 비상 / JTBC 정치부회의,1.4K,1.4K views,/watch?v=wJqNCUshZf0,,2021-04-17 13:27:56.573389
YTN news,/user/ytnnews24,이태원 클럽발 집단감염 확산...방역 비상 / YTN,75K,75K views,/watch?v=AWmkaw0gu_A,,2021-04-17 13:27:56.574712
